Source,Type of Source,Text,Label,Geographical_Location,Author_Country_Affiliation,
https://www.splcenter.org/fighting-hate/extremist-files/group/blood-honour,Website,"To achieve all of this we, and our European comrades, must above all have faith. Our enemies are strong, and presently we are relatively weak in numbers, but unbeatable in spirit. We must realize that we, and our enemies, are engaged in a struggle for the survival of the European races. If we fail we will be destroyed along with European civilization; and we must accept in our hearts, that if victory is eventually ours we must deal with our enemies in the most ruthless fashion. If we do not destroy their cancer at the root we will have to face up to its reincarnation at a later stage. We must have faith in this, our battle to the death.",White Supremacist,Propaganda,Europe,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/brotherhood-klans,Website,The KKK wants you. Join today and win back your rights that have been given to others in the name of political correctness. We are fighting to preserve the existence of our race and a future for White children.”,White Supremacist,Recruitment,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/fraternal-order-alt-knights-foak,Website,How many of our children have to die before we rid our lands of Islamic invaders? Our civilization destroyed. WAKE UP YOU COWARDS! FIGHT,White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,Website,"By offering education and guidance, we intend to mobilize our youth for change and create an atmosphere capable of weeding out the superficial and outdated reactionary elements so that we may continue to move forward.",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,Website,"When … you take a German Shepherd and mix him with a Golden Retriever you have a worthless animal that nobody wants and that isn’t worth anything if you’re trying to breed him or sell him. … These degenerates that allow their children to race mix and this sort of thing, they’re destroying the bloodlines of both races.",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,Website,"You know what this bullshit translates to? White people got nice shit, white people worked for it, and Black people want it. . . . They have no interest in equality. They want to fucking rule us.",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/proud-boys,Website,All the heroes of BLM and Antifa are degenerate criminal lowlifes or pedophile rapists. I don’t lose any sleep when they are justly removed from society.,White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/proud-boys,Website,The true minority in this world ARE whites. White children are less than 3% of the worlds [sic] population. I think since white majority countries are on a pathway to extinction we should correctly refer to non whites by their true names. Worldwide majority.,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/proud-boys,Website,All I want to do is smash commies too. Actually I’m lying I’m way past just hitting them. When the time comes I will stop at nothing to fully eradicate them all.,White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/proud-boys,Website,Palestinians are stupid. Muslims are stupid. And the only thing they really respect is violence and being tough.,White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/proud-boys,Website,"We brought roads and infrastructure to India and they are still using them as toilets. Our criminals built nice roads in Australia but aboriginals keep using them as a bed. The next time someone bitches about colonization, the correct response is ‘You’re welcome.",White Supremacist,Propaganda,"India, Australia",USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/proud-boys,Website,"Beating down a mud [a non-white person] when they try to poisen [sic] one of our own or when they try to seduce one of our girls may not be God inspired, but rather a righteous act of collective preservation.",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/white-lives-matter,Website,Do not allow our lands to turn into Haiti ... time to shut the savage beasts down. Shut down Black Lives Matter.,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/vdare,Website,"America was defined — almost explicitly, sometimes very explicitly — as a white nation, for white people, and what that means is that there is virtually no figure, no law, no policy, no event in the history of the old, white America that can survive the transition to the new and non-white version. Whether we will want to call the new updated version ‘America’ at all is another question entirely.",White Supremacist,Propaganda,USA,USA,
https://gnet-research.org/2020/05/07/the-gift-of-the-gab-the-utilisation-of-covid-19-for-neo-nazi-recruitment/,Website,The Great Replacement,White Supremacist,Propaganda,-,USA,
https://gnet-research.org/2020/05/07/the-gift-of-the-gab-the-utilisation-of-covid-19-for-neo-nazi-recruitment/,Website,Day of the Rope,White Supremacist,Propaganda,-,USA,
https://gnet-research.org/2020/05/07/the-gift-of-the-gab-the-utilisation-of-covid-19-for-neo-nazi-recruitment/,Website,Engine of Cyclical History,White Supremacist,Propaganda,-,USA,
https://www.thedailybeast.com/inside-the-private-messages-of-neo-nazi-group-atomwaffen-division,Website,I am also 16. Turning 17 in September 5. I have a job and a vehicle for transportation. I am ready for action.,White Supremacist,Recruitment,-,USA,
https://www.thedailybeast.com/inside-the-private-messages-of-neo-nazi-group-atomwaffen-division,Website,"Just to tell you, I’m 16, so I hope I’m not too young to join.",White Supremacist,Recruitment,-,USA,
https://www.thedailybeast.com/inside-the-private-messages-of-neo-nazi-group-atomwaffen-division,Website,"I’m in Marine NROTC [Naval Reserve Officer Training Corps] at the moment so I could bring that training to the table and moreso in the future, if I earn a commission,",White Supremacist,Recruitment,-,USA,
https://humanrights.gov.au/our-work/publications/examples-racist-material-internet#1.3,Website,"The mud brown child that's been given birth. The beating of your life is what it is worth…
My hands are around your neck. Your error is mine to correct
The air slowly dwindles away. Your defiled body, on the ground it lays.
",White Supremacist,Recruitment,-,Australia,
https://humanrights.gov.au/our-work/publications/examples-racist-material-internet#1.3,Website,Still Just a Nigger,White Supremacist,Recruitment,-,Austrailia,
https://humanrights.gov.au/our-work/publications/examples-racist-material-internet#1.3,Website,Race Mixing is Treason,White Supremacist,Recruitment,-,Australia,
https://humanrights.gov.au/our-work/publications/examples-racist-material-internet#1.3,Website,Islam (Religion of Whores),White Supremacist,Recruitment,-,Australia,
https://humanrights.gov.au/our-work/publications/examples-racist-material-internet#1.3,Website,Too White For You,White Supremacist,Recruitment,-,Australia,
https://www.crikey.com.au/2021/04/20/leaked-neo-nazi-manual-manipulating-media-recruit/,Website,"Activists are responsible for bringing the national socialist message to white Australians, staging media provocations to make the organisation itself better known and recruiting suitably committed people into the organisation",White Supremacist,Recruitment,-,Australia,
https://www.crikey.com.au/2021/04/20/leaked-neo-nazi-manual-manipulating-media-recruit/,Website,"Media baiting is a huge portion of our recruitment drive. There are currently hundreds of minor nationalist groups in Australia, but none of them ever amount to anything without media attention,",White Supremacist,Recruitment,-,Australia,
https://www.stawelltimes.com.au/story/4971439/neo-nazi-grampians-camp-used-for-recruitment/,Website,We are an elite Aussie youth organisation that has been around for just under a year.You will be vetted accordingly before you have the right to join our ranks.,White Supremacist,Recruitment,-,Australia,
https://www.stawelltimes.com.au/story/4971439/neo-nazi-grampians-camp-used-for-recruitment/,Website,"Hey guys, just wanted to say a big thank you for the huge amount of applications we have received,Vetting is of course, a slow but accurate process to weed out the shills. So please be patient. If you have artistic skills in photoshop, you will be bumped ahead of the que",White Supremacist,Recruitment,-,Australia,
https://www.nzherald.co.nz/nz/action-zealandia-nzs-largest-neo-nazi-group-on-the-hunt-for-new-recruits/BK56VEKDR5AJE2CMBVNAX2DKRA/,Website,Kyle Rittenhouse Was Right,White Supremacist,Recruitment,-,New Zealand,
https://www.nzherald.co.nz/nz/action-zealandia-nzs-largest-neo-nazi-group-on-the-hunt-for-new-recruits/BK56VEKDR5AJE2CMBVNAX2DKRA/,Website,Boer Lives Matter - Action Zealandia,White Supremacist,Recruitment,-,New Zealand,
https://gazette.com/news/white-supremacist-neo-nazi-propaganda-in-colorado-springs-spotted-part-of-statewide-increase/article_882e2f70-a7cc-11e8-8ef3-6f9c8b7e92d1.html,Website,Life Liberty and Pursuit of Victory,White Supremacist,Propaganda,-,USA,
https://gazette.com/news/white-supremacist-neo-nazi-propaganda-in-colorado-springs-spotted-part-of-statewide-increase/article_882e2f70-a7cc-11e8-8ef3-6f9c8b7e92d1.html,Website,Money doesnot rule you,White Supremacist,Propaganda,-,USA,
https://gazette.com/news/white-supremacist-neo-nazi-propaganda-in-colorado-springs-spotted-part-of-statewide-increase/article_882e2f70-a7cc-11e8-8ef3-6f9c8b7e92d1.html,Website,Not here not ever,White Supremacist,Propaganda,-,USA,
https://www.wweek.com/news/2019/03/11/neo-nazis-saw-patriot-prayer-rallies-as-fertile-recruitment-grounds-and-targeted-local-newspapers-to-gain-publicity/,Website,"A significant number of the Alt light people are National Socialists, deep down, they just need to find somewhere they belong",White Supremacist,Recruitment,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/david-lane,Website,We must secure the existence of our people and a future for White children.,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/david-lane,Website,"America is the murderer of the White Race. … I wouldn't contaminate my toilet with your red, white and blue rag",White Supremacist,Propaganda,-,USA,
https://plawiuk.blogspot.com/2021/08/americas-far-right-extremists-are.html,Website,The defeat of the US government in Afghanistan is unequivocally a positive development.,White Supremacist,Recruitment,USA,USA,
https://www.theguardian.com/theguardian/shortcuts/2014/apr/07/cookie-monster-neo-nazi-propaganda,Website,Who ate my biscuit?,White Supremacist,Propaganda,-,USA,
https://www.crikey.com.au/2016/12/05/neo-nazis-flood-melbourne-uni-with-propaganda/,Website,Stop the Hordes,White Supremacist,Propaganda,-,Australia,
https://www.crikey.com.au/2016/12/05/neo-nazis-flood-melbourne-uni-with-propaganda/,Website,Keep Australia White,White Supremacist,Propaganda,Australia,Australia,
https://www.newsweek.com/hitler-was-right-neo-nazis-arrive-pro-israel-rally-van-covered-hate-speech-1591374,Website,Hitler was right,White Supremacist,Propaganda,-,USA,
https://www.newsweek.com/white-supremacist-propaganda-appears-california-cities-they-brace-white-lives-matter-rally-1582501,Website,Say no to cultural genocide,White Supremacist,Propaganda,-,USA,
https://spectrumlocalnews.com/tx/dallas-fort-worth/news/2021/03/19/report-attributes-majority-of-2020-white-supremacist-propaganda-to-dallas-based-group,Website,America First,White Supremacist,Propaganda,USA,USA,
https://spectrumlocalnews.com/tx/dallas-fort-worth/news/2021/03/19/report-attributes-majority-of-2020-white-supremacist-propaganda-to-dallas-based-group,Website,Better Dead Than Red,White Supremacist,Propaganda,-,USA,
https://spectrumlocalnews.com/tx/dallas-fort-worth/news/2021/03/19/report-attributes-majority-of-2020-white-supremacist-propaganda-to-dallas-based-group,Website,"Two Parties. One Tyranny,",White Supremacist,Propaganda,-,USA,
https://spectrumlocalnews.com/tx/dallas-fort-worth/news/2021/03/19/report-attributes-majority-of-2020-white-supremacist-propaganda-to-dallas-based-group,Website,Not Stolen. Conquered.,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,"Stop Corona Virus, Deport All Illegal aliens, Close the Borders, Stop Immigration Now,",White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,Globalism is the virus,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,(((Media))) is the virus.,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,Small HATS BIG problems,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,"America is under occupation,",White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,Reject White Guilt,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,110 and Never Again Jews have been expelled from 109 countries make America 110,White Supremacist,Propaganda,USA,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,KIKES LIE WHITES DIE 14/88,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,Antifa is a Jewish Militia,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,Open Borders Spread Disease.,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,No White Guilt.,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/intelligence-report/2003/cultural-marxism-catching,Website,Cultural Marxism,White Supremacist,Propaganda,-,USA,
https://laist.com/news/how-white-supremacists-are-recruiting-educated-normies-around-la,Website,"Good morning guys! Friendly reminder that if everyone could channel their time and energy to online recruiting, that would greatly be appreciated!",White Supremacist,Recruitment,-,USA,
https://laist.com/news/how-white-supremacists-are-recruiting-educated-normies-around-la,Website,"Recruit from colleges, universities, libraries, tech companies, and law firms.",White Supremacist,Recruitment,-,USA,
